source	target	weight
98707	2843	0.815
98707	3231	46.5
98707	2156	0.04
98707	2863	0.0105
98707	1729	0.15
98707	2886	28.5
98707	2006	5.75
98038	3209	660.0
98038	2082	61.0
98038	2006	1.09
98038	2877	25.0
98038	2554	274.0
98038	1855	240.0
98038	3166	0.28
98038	2843	0.037
98038	3126	0.158
98038	1759	0.0011
98038	2113	0.0
98038	1762	0.0
98038	2017	9.8
98038	2458	0.086
98038	2156	0.072
98038	1903	0.652
98038	1968	0.041
98038	2055	0.082
98038	2863	0.02625
98038	2532	0.0
98038	1805	0.0
97967	3209	156.66666666666666
97967	3163	0.0
97967	1911	0.0
97967	2747	0.0
97967	2082	18.666666666666668
